id;railway;name;customhouse;x_coord;y_coord
2230;ЮГО-ВОСТОЧНАЯ;ДУПЛЯТКА;396659 ВОРОНЕЖСКАЯ ОБЛ., Г.РОССОШЬ, ПЛ.ОКТЯБРЬСКАЯ, Д.158;50.209759;39.49851
2231;БЕЛОРУССКАЯ;УША;МИНСКАЯ ОБЛ., Г. МОЛОДЕЧНО, Ж/Д СТ.МОЛОДЕЧНО (ПЕРЕДАТ. СТАНЦИЯ);54.307332;26.838939
2232;ОКТЯБРЬСКАЯ;МАКСАТИХА;170043 Г.ТВЕРЬ, ВОЛОКОЛАМСКОЕ Ш., Д.49;56.825306;35.880177
2233;СЕВЕРНАЯ;ИВАШЕВО;156961 Г.КОСТРОМА, УЛ.ЗЕЛЕНАЯ, Д.7;57.774724;41.003502
2234;ВОСТОЧНО-СИБИРСКАЯ;ВОЕННЫЙ ГОРОДОК;664053  Г.ИРКУТСК, СТ. ГОРКА;52.341525;104.142436
2235;СЕВЕРО-КАВКАЗСКАЯ;ГРУШЕВАЯ;353911 КРАСНОДАРСКИЙ КРАЙ, Г. НОВОРОССИЙСК, ВОСТОЧНЫЙ Р-Н, ПЕР. ЛИТЕЙНЫЙ, Д;44.714368;37.84631
2236;ЮЖНО-УРАЛЬСКАЯ;НИЖНЕУВЕЛЬСКАЯ;457100 Г.ТРОИЦК, УЛ.ГАГАРИНА, 1;54.08215;61.535962
2237;БЕЛОРУССКАЯ;ПОСТАВЫ;ВИТЕБСКАЯ ОБЛ., Г. ПОЛОЦК, Ж/Д СТ.ПОЛОЦК  (перед.ст. Даугавпилс-Полоцк);55.485576;28.768349
2238;ГОРЬКОВСКАЯ;ЮРЬЯ;610025 Г.КИРОВ, ПЕР. АВТОТРАНСПОРТНЫЙ, Д. 4;58.575768;49.665319
2239;ГОРЬКОВСКАЯ;МЕЛЕНКИ;602200 Г.МУРОМ, УЛ.ВЛАДИМИРСКАЯ, 2А;55.576426;42.02716
2240;ОКТЯБРЬСКАЯ;КАШИН;171510 ТВЕРСКАЯ ОБЛ., Г.КИМРЫ, УЛ. СТАРОЗАВОДСКАЯ, 13 Д;56.871606;37.388241
